Year,Count
1939,69
1940,221
1941,207
1942,244
1943,198
1944,134
1945,97
1946,90
1947,72
1948,116
1949,62
1950,29
1951,54
1952,26
1953,39
1954,82
1955,43
1956,16
1957,7
1958,2
1959,4
1960,40
1961,84
1962,105
1963,183
1964,174
1965,180
1966,140
1967,124
1968,142
1969,134
1970,132
1971,113
1972,182
1973,245
1974,240
1975,287
1976,308
1977,292
1978,199
1979,236
1980,257
1981,227
1982,216
1983,193
1984,224
1985,254
1986,247
1987,182
1988,304
1989,321
1990,357
1991,360
1992,455
1993,554
1994,485
1995,301
1996,306
1997,334
1998,274
1999,231
2000,322
2001,228
2002,311
2003,257
2004,282
2005,336
2006,381
2007,307
2008,360
2009,302
2010,324
2011,349
2012,201
2013,167
